Förster;Sandhausen;MIT;0,4;53;3,6
Franke;Darmstadt;ABW;0,6;42;3,3
Freis;Regensburg;STU;0,3;0;5
Friedrich;Union;ABW;0,4;26;3,5
Fröde;Duisburg;MIT;0,5;86;3,4
Führich;Köln;MIT;0,2;;
Funk;Fürth;TOR;0,2;4;3
Galic;Darmstadt;TOR;0,1;;
Ganvoula;Bochum;STU;0,4;;
Gartner;Duisburg;MIT;0,3;15;3,3
Gaus;Ingolstadt;MIT;0,6;45;3,7
Gaye;Bielefeld;TOR;0,1;0;
Geipl;Regensburg;MIT;0,5;58;3,4
Gelzleichter;Darmstadt;STU;0,1;;
George;Regensburg;MIT;0,6;90;3,5
Gikiewicz;Union;TOR;0,6;;
Gimber;Ingolstadt;ABW;0,6;46;3,6
Gipson;Sandhausen;ABW;0,2;7;3,3
Girth;Kiel;STU;0,5;;
Gislason;Sandhausen;STU;0,5;55;3,4
Gjasula;Paderborn;MIT;0,4;;
Glatzel;Heidenheim;STU;0,6;55;3,6
Gogia;Union;MIT;0,6;31;3,8
Gonther;Dresden;ABW;0,4;12;3,3
Gouaida;Sandhausen;MIT;0,3;;
Green;Fürth;STU;0,6;26;3,9
Griesbeck;Heidenheim;MIT;0,7;69;3,4
Grüttner;Regensburg;STU;0,7;163;3,2
Gucciardo;Paderborn;STU;0,1;;
Guedé;Sandhausen;STU;0,4;;
Gugganig;Fürth;ABW;0,4;26;3,8
Guirassy;Köln;STU;0,6;;
Gyamerah;Bochum;ABW;0,5;48;3,5
Gyau;Duisburg;MIT;0,4;;
Haas;Aue;TOR;0,2;0;
Hajri;Duisburg;ABW;0,4;45;3,5
Hamalainen;Dresden;ABW;0,5;;
Hammann;Magdeburg;ABW;0,5;;
Handke;Magdeburg;ABW;0,5;;
Handwerker;Köln;ABW;0,5;;
Hansch;Sandhausen;MIT;0,4;;
Harant;Magdeburg;STU;0,1;;
Hartel;Union;MIT;0,6;64;3,4
Härtel;Aue;ABW;0,2;0;
Hartherz;Bielefeld;ABW;0,7;91;3,5
Hartmann;Dresden;MIT;0,6;66;3,1
Hauptmann;Köln;MIT;0,6;78;3,2
Hauptmann;Dresden;MIT;0,1;;
Hector;Köln;ABW;1;;
Hedlund;Union;STU;0,7;92;3,4
Heerwagen;St. Pauli;TOR;0,3;0;
Heil;Paderborn;ABW;0,1;;
Hein;Regensburg;ABW;0,3;1;
Heise;Dresden;ABW;0,7;90;3,2
Heller;Darmstadt;MIT;0,8;;
Hemmerich;Aue;MIT;0,2;2;4
Herrmann;Kiel;ABW;0,5;74;3,4
Herrmann;Aue;MIT;0,1;-4;5
Hertner;Darmstadt;ABW;0,5;23;3,8
Herzenbruch;Paderborn;ABW;0,4;;
Heuer Fernandes;Darmstadt;TOR;0,9;187;2,6
Hilbert;Fürth;ABW;0,5;2;4,1
Himmelmann;St. Pauli;TOR;0,7;152;3,1
Hinterseer;Bochum;STU;0,8;103;3,5
Hochscheidt;Aue;MIT;0,7;100;3,2
Höger;Köln;MIT;0,7;;
Höhn;Darmstadt;ABW;0,5;22;3,6
Holland;Darmstadt;ABW;0,5;45;3,7
Holtby;HSV;MIT;1;;
Honsak;Kiel;MIT;0,4;;
Hoogland;Bochum;ABW;0,6;64;3,4
Horn;Köln;TOR;1;;
Horn;Köln;ABW;0,5;;
Hornschuh;St. Pauli;ABW;0,4;-4;4,2
Horvath;Dresden;MIT;0,4;33;3,6
Hübner;Union;ABW;0,8;;
Hünemeier;Paderborn;ABW;0,7;;
Hunt;HSV;MIT;1;;
Hyseni;Regensburg;STU;0,2;;
Ignjovski;Magdeburg;ABW;0,6;;
Iljutcenko;Duisburg;STU;0,4;54;3,8
Ito;HSV;MIT;0,8;;
Iyoha;Aue;STU;0,4;0;
Jairo;HSV;MIT;0,9;;
Janelt;Bochum;MIT;0,3;6;3,9
Janjicic;HSV;MIT;0,4;;
Jansen;Sandhausen;MIT;0,3;36;3,6
Janzer;Kiel;MIT;0,4;7;
Jatta;HSV;MIT;0,5;;
Jendrusch;Aue;TOR;0,2;0;
Joao Renato;Darmstadt;ABW;0,1;0;
Jones;Darmstadt;MIT;0,6;74;3,3
Jorge Meré;Köln;ABW;0,8;;
Jung;HSV;ABW;0,6;;
Kahraman;Union;MIT;0,1;0;
Kalig;Aue;ABW;0,6;88;3,3
Kalla;St. Pauli;ABW;0,4;18;3,4
Kamavuaka;Darmstadt;MIT;0,5;36;3,7
Karazor;Kiel;MIT;0,3;4;3,8
Karl;Sandhausen;MIT;0,5;84;3,2
Kaya;Ingolstadt;STU;0,1;0;
Keita-Ruel;Fürth;STU;0,5;;
Kempe;Darmstadt;MIT;0,8;142;3,3
